,Name,Price,Year,Make,Model,Body Type
421,bmw m roadster,52100,2007,bmw,m roadster,convertible
422,bmw m5,82500,2007,bmw,m5,sedan
423,bmw m6,102000,2007,bmw,m6,coupe
424,bmw x3,38000,2007,bmw,x3,sport utility
425,bmw x5,50200,2007,bmw,x5,sport utility
426,bmw z4,39400,2007,bmw,z4,convertible
427,bmw 1 series,37000,2008,bmw,1 series,convertible
428,bmw 3 series,36000,2008,bmw,3 series,wagon
429,bmw 5 series,58800,2008,bmw,5 series,sedan
430,bmw 6 series,80150,2008,bmw,6 series,hatchback
431,bmw 7 series,76800,2008,bmw,7 series,sedan
432,bmw m coupe,50400,2008,bmw,m coupe,hatchback
433,bmw m roadster,52400,2008,bmw,m roadster,convertible
434,bmw m3,59375,2008,bmw,m3,sedan
435,bmw m5,83900,2008,bmw,m5,sedan
436,bmw m6,103200,2008,bmw,m6,coupe
437,bmw x3,38600,2008,bmw,x3,sport utility
438,bmw x5,50500,2008,bmw,x5,sport utility
439,bmw x6,57750,2008,bmw,x6,sport utility
440,bmw z4,39700,2008,bmw,z4,convertible
441,bmw 1 series,31700,2009,bmw,1 series,convertible
442,bmw 3 series,39075,2009,bmw,3 series,wagon
443,bmw 5 series,48100,2009,bmw,5 series,sedan
444,bmw 6 series,81750,2009,bmw,6 series,hatchback
445,bmw 7 series,80300,2009,bmw,7 series,sedan
446,bmw m3,60675,2009,bmw,m3,sedan
447,bmw m5,85500,2009,bmw,m5,sedan
448,bmw m6,105000,2009,bmw,m6,coupe
449,bmw x3,39700,2009,bmw,x3,sport utility
450,bmw x5,51850,2009,bmw,x5,sport utility
451,bmw x6,61275,2009,bmw,x6,sport utility
452,bmw z4,48700,2009,bmw,z4,convertible
453,bmw 1 series,31675,2010,bmw,1 series,convertible
454,bmw 3 series,39075,2010,bmw,3 series,wagon
455,bmw 5 series,66200,2010,bmw,5 series,sedan
456,bmw 6 series,82000,2010,bmw,6 series,hatchback
457,bmw 7 series,85900,2010,bmw,7 series,sedan
458,bmw activehybrid x6,88900,2010,bmw,activehybrid x6,sport utility
459,bmw m3,61225,2010,bmw,m3,sedan
460,bmw m5,85700,2010,bmw,m5,sedan
461,bmw m6,105250,2010,bmw,m6,coupe
462,bmw x3,38850,2010,bmw,x3,sport utility
463,bmw x5,51950,2010,bmw,x5,sport utility
464,bmw x5 m,85500,2010,bmw,x5 m,sport utility
465,bmw x6,61850,2010,bmw,x6,sport utility
466,bmw x6 m,89000,2010,bmw,x6 m,sport utility
467,bmw z4,48950,2010,bmw,z4,convertible
468,bmw 1 series,31975,2011,bmw,1 series,convertible
469,bmw 1 series m,46135,2011,bmw,1 series m,coupe
470,bmw 3 series,47350,2011,bmw,3 series,wagon
471,bmw 5 series,50100,2011,bmw,5 series,sedan
472,bmw 7 series,137300,2011,bmw,7 series,sedan
473,bmw activehybrid x6,88900,2011,bmw,activehybrid x6,sport utility
474,bmw m3,61725,2011,bmw,m3,sedan
475,bmw x3,38900,2011,bmw,x3,sport utility
476,bmw x5,52600,2011,bmw,x5,sport utility
477,bmw x5 m,85700,2011,bmw,x5 m,sport utility
478,bmw x6,62350,2011,bmw,x6,sport utility
479,bmw x6 m,89200,2011,bmw,x6 m,sport utility
480,bmw z4,54975,2011,bmw,z4,convertible
481,bmw 1 series,34050,2012,bmw,1 series,convertible
482,bmw 3 series,48100,2012,bmw,3 series,wagon
483,bmw 5 series,59300,2012,bmw,5 series,sedan
484,bmw 6 series,86750,2012,bmw,6 series,hatchback
485,bmw 7 series,88200,2012,bmw,7 series,sedan
486,bmw m3,64425,2012,bmw,m3,sedan
487,bmw m6,113100,2012,bmw,m6,coupe
488,bmw x3,39900,2012,bmw,x3,sport utility
489,bmw x5,55850,2012,bmw,x5,sport utility
490,bmw x5 m,87250,2012,bmw,x5 m,sport utility
491,bmw x6,64900,2012,bmw,x6,sport utility
492,bmw x6 m,90300,2012,bmw,x6 m,sport utility
493,bmw z4,56425,2012,bmw,z4,convertible
494,bmw 1 series,45900,2013,bmw,1 series,convertible
495,bmw 3 series,34550,2013,bmw,3 series,wagon
496,bmw 5 series,53400,2013,bmw,5 series,sedan
497,bmw 6 series,78650,2013,bmw,6 series,hatchback
498,bmw 7 series,140700,2013,bmw,7 series,sedan
499,bmw m3,64575,2013,bmw,m3,sedan
500,bmw m5,90200,2013,bmw,m5,sedan
501,bmw m6,111500,2013,bmw,m6,coupe
502,bmw x1,34700,2013,bmw,x1,sport utility
503,bmw x3,41400,2013,bmw,x3,sport utility
504,bmw x5,55850,2013,bmw,x5,sport utility
505,bmw x5 m,88850,2013,bmw,x5 m,sport utility
506,bmw x6,65100,2013,bmw,x6,sport utility
507,bmw x6 m,92900,2013,bmw,x6 m,sport utility
